id	file	label	size	category	price
CONTROL1	CONTROL1.png	Madeta mléko trvanlivé plnotučné 3,5%	1 l	Nealko nápoje	75,90 Kč
CONTROL2	CONTROL2.png	Lindt Čokoláda EXCELLENCE hořká 85% kakaa	100 g	Sladkosti	25,00 Kč
